Player,Pos,Squad,Age,Min,,,,
Marvin Obuz,FW,Holstein Kiel,21.33150685,150,21,151,0.41369863,21.41369863
Raphael Obermair,MF,Paderborn 07,27.15068493,2408,27,068,0.18630137,27.18630137
Tim Oberdorf,DF,Düsseldorf,26.77534247,1977,26,534,1.463013699,27.4630137
Fabian Nürnberger,MF,Nürnberg,23.82739726,1620,23,274,0.750684932,23.75068493
Jannis Nikolaou,MF,Braunschweig,29.81917808,2442,29,918,2.515068493,31.51506849
Jona Niemiec,FW,Düsseldorf,21.68219178,221,21,219,0.6,21.6
Noel Niemann,FW,Arminia,23.52876712,8,23,877,2.402739726,25.40273973
Håvard Nielsen,MF,Hannover 96,29.8630137,2585,29,301,0.824657534,29.82465753
Julian Niehues,MF,Kaiserslautern,22.10684932,1989,22,685,1.876712329,23.87671233
Phil Neumann,DF,Hannover 96,25.88219178,2353,25,219,0.6,25.6
David Nemeth,DF,St. Pauli,22.1890411,594,22,904,2.476712329,24.47671233
András Németh,FW,Hamburger SV,20.54246575,137,20,247,0.676712329,20.67671233
Nico Neidhart,MF,Hansa Rostock,28.66027397,2131,28,027,0.073972603,28.0739726
Paul Nebel,MF,Karlsruher,20.62465753,2150,20,466,1.276712329,21.27671233
Niclas Nadj,MF,Paderborn 07,22.41917808,293,22,918,2.515068493,24.51506849
Sebastian Nachreiner,DF,Jahn R'burg,34.50410959,627,34,411,1.126027397,35.1260274
Mats Møller Dæhli,MF,Nürnberg,28.23287671,2119,28,288,0.789041096,28.7890411
Florent Muslija,MF,Paderborn 07,24.88767123,2089,24,767,2.101369863,26.10136986
Sei Muroya,MF,Hannover 96,29.13972603,2408,29,973,2.665753425,31.66575342
Ridge Munsy,FW,Hansa Rostock,33.87945205,155,33,945,2.589041096,35.5890411
Maurice Multhaup,MF,Braunschweig,26.44383562,1399,26,384,1.052054795,27.05205479
Tobias Müller,DF,Paderborn 07,28.88219178,1156,28,219,0.6,28.6
Kevin Müller,GK,Heidenheim,32.19726027,2970,32,726,1.989041096,33.9890411
Jannik Müller,DF,Darmstadt 98,29.35068493,2037,29,068,0.18630137,29.18630137
Andreas Müller,MF,Magdeburg,22.84931507,1508,22,932,2.553424658,24.55342466
Alexander Mühling,MF,Holstein Kiel,30.72054795,995,30,055,0.150684932,30.15068493
Miro Muheim,DF,Hamburger SV,25.17260274,2664,25,726,1.989041096,26.9890411
Francisco Montero,DF,Hamburger SV,24.36164384,185,24,164,0.449315068,24.44931507
Monju Momuluh,MF,Hannover 96,21.26575342,210,21,575,1.575342466,22.57534247
William Mikelbrencis,DF,Hamburger SV,19.24657534,180,19,658,1.802739726,20.80273973
